Name,Phone,Role,Daily Wage,Join Date
Ramesh Gupta,9000000001,Supervisor,450,2024-03-06
Vikas Verma,9000000002,Supervisor,500,2024-11-18
Rohit Kumar,9000000003,Supervisor,500,2025-02-25
Rohit Kumar,9000000004,Mason,450,2024-07-10
Pankaj Mishra,9000000005,Laborer,450,2025-10-14
Pankaj Mishra,9000000006,Supervisor,450,2025-09-03
Ramesh Gupta,9000000007,Helper,450,2024-01-03
Deepak Jain,9000000008,Mason,600,2025-09-25
Sunil Mehta,9000000009,Mason,800,2024-10-07
Anil Yadav,9000000010,Laborer,600,2024-03-17
Deepak Jain,9000000011,Laborer,800,2025-06-14
Rahul Singh,9000000012,Laborer,800,2024-02-02
Anil Yadav,9000000013,Supervisor,600,2025-08-04
Amit Sharma,9000000014,Mason,600,2024-09-09
Pankaj Mishra,9000000015,Supervisor,800,2025-06-13
Vikas Verma,9000000016,Laborer,600,2025-04-09
Rahul Singh,9000000017,Helper,800,2024-10-06
Amit Sharma,9000000018,Mason,600,2024-07-23
Suresh Patel,9000000019,Helper,800,2025-02-10
Sunil Mehta,9000000020,Supervisor,450,2025-02-11
Anil Yadav,9000000021,Mason,450,2024-01-07
Rohit Kumar,9000000022,Helper,500,2024-02-17
Rohit Kumar,9000000023,Helper,450,2025-02-09
Sunil Mehta,9000000024,Mason,800,2024-07-24
Anil Yadav,9000000025,Laborer,450,2025-09-01
Sunil Mehta,9000000026,Helper,500,2025-10-15
Rohit Kumar,9000000027,Helper,600,2025-10-22
Rahul Singh,9000000028,Laborer,600,2025-06-30
Vikas Verma,9000000029,Supervisor,800,2024-08-02
Deepak Jain,9000000030,Laborer,600,2025-12-19
Anil Yadav,9000000031,Helper,500,2025-09-22
Amit Sharma,9000000032,Supervisor,600,2024-11-06
Amit Sharma,9000000033,Laborer,600,2024-02-01
Deepak Jain,9000000034,Mason,500,2024-08-02
Deepak Jain,9000000035,Helper,600,2024-03-21
Ramesh Gupta,9000000036,Mason,600,2025-03-26
Pankaj Mishra,9000000037,Laborer,450,2025-02-17
Suresh Patel,9000000038,Helper,450,2025-04-29
Amit Sharma,9000000039,Supervisor,500,2024-11-04
Vikas Verma,9000000040,Laborer,450,2024-10-07
Rohit Kumar,9000000041,Mason,450,2024-08-07
Ramesh Gupta,9000000042,Supervisor,600,2025-03-04
Suresh Patel,9000000043,Mason,800,2024-06-19
Suresh Patel,9000000044,Helper,800,2025-07-21
Vikas Verma,9000000045,Supervisor,600,2024-09-23
Anil Yadav,9000000046,Helper,600,2025-09-30
Rahul Singh,9000000047,Supervisor,450,2024-08-06
Rahul Singh,9000000048,Supervisor,500,2025-03-31
Rahul Singh,9000000049,Helper,600,2025-12-28
Amit Sharma,9000000050,Helper,500,2025-05-14
Deepak Jain,9000000051,Laborer,600,2025-01-30
Anil Yadav,9000000052,Mason,500,2024-08-10
Suresh Patel,9000000053,Supervisor,800,2024-04-22
Anil Yadav,9000000054,Supervisor,500,2025-04-06
Rohit Kumar,9000000055,Supervisor,450,2025-09-10
Vikas Verma,9000000056,Helper,500,2025-03-18
Deepak Jain,9000000057,Mason,800,2025-08-24
Anil Yadav,9000000058,Mason,500,2024-11-22
Rohit Kumar,9000000059,Helper,800,2024-09-21
Rohit Kumar,9000000060,Helper,600,2025-01-14
Rahul Singh,9000000061,Mason,600,2025-01-12
Vikas Verma,9000000062,Helper,600,2024-07-12
Amit Sharma,9000000063,Supervisor,450,2024-05-05
Rahul Singh,9000000064,Laborer,600,2025-06-23
Rohit Kumar,9000000065,Laborer,800,2025-04-01
Anil Yadav,9000000066,Laborer,450,2024-05-10
Suresh Patel,9000000067,Supervisor,800,2025-08-16
Anil Yadav,9000000068,Mason,450,2024-10-02
Rahul Singh,9000000069,Mason,800,2025-02-04
Anil Yadav,9000000070,Supervisor,600,2025-02-25
Suresh Patel,9000000071,Mason,600,2025-03-13
Pankaj Mishra,9000000072,Helper,500,2025-07-23
Sunil Mehta,9000000073,Mason,800,2024-08-12
Amit Sharma,9000000074,Mason,600,2025-12-13
Rahul Singh,9000000075,Supervisor,800,2024-12-27
Amit Sharma,9000000076,Helper,500,2024-03-11
Rahul Singh,9000000077,Mason,500,2024-06-19
Amit Sharma,9000000078,Supervisor,450,2024-09-25
Pankaj Mishra,9000000079,Laborer,450,2025-07-08
Rahul Singh,9000000080,Mason,800,2025-11-24
Pankaj Mishra,9000000081,Helper,600,2024-07-12
Sunil Mehta,9000000082,Supervisor,500,2024-03-11
Rohit Kumar,9000000083,Helper,600,2024-11-19
Ramesh Gupta,9000000084,Laborer,450,2025-02-22
Rahul Singh,9000000085,Helper,800,2024-01-28
Suresh Patel,9000000086,Helper,800,2025-10-11
Suresh Patel,9000000087,Helper,800,2025-09-22
Anil Yadav,9000000088,Supervisor,600,2024-04-14
Ramesh Gupta,9000000089,Supervisor,800,2025-02-28
Amit Sharma,9000000090,Mason,500,2025-12-02
Anil Yadav,9000000091,Helper,450,2024-09-08
Rahul Singh,9000000092,Supervisor,800,2024-02-22
Sunil Mehta,9000000093,Helper,800,2025-06-16
Ramesh Gupta,9000000094,Laborer,600,2024-12-06
Vikas Verma,9000000095,Mason,450,2025-12-08
Amit Sharma,9000000096,Laborer,500,2024-08-07
Anil Yadav,9000000097,Helper,600,2025-01-19
Amit Sharma,9000000098,Helper,450,2025-05-26
Vikas Verma,9000000099,Mason,450,2025-07-25
Amit Sharma,9000000100,Helper,600,2024-12-08
